;;;;;;;;;;;;;;;;;;
"Абдулхаев Фаррух";;;;;;;;;;;;;;;;;;
"Price List";;;;;;;;;;;;;;;;;;
"03 окт 2024";;;;;;;;;;;;;;;;;;
"в„–";"Code";"Barcode";"Name";"Qty per Box";"Card Number";"Balance";"Your order";"Price Type: Акция";"Акция with margin";"Price Type: Возврат";"Возврат with margin";"Price Type: При 100% Оплате (перечисление)";"При 100% Оплате (перечисление) with margin";"Price Type: Цена договорная (перечисление)";"Цена договорная (перечисление) with margin";"Expiry Date";"Группа";"Producer"
"12";"A55844";;"Рингер р-р д/инфузий 250мл";"1";"00010324";"35";;;;;;"6198";"6198";"6390";"6390";"01.04.2027";"НДС";"""RIVER MED PHARM""/Узбекистан"
"""Sanjivani Paranteral Ltd";;;;;;;;;;;;;;;;;;
"13";"A26234";;"Санксамик р-р для внут/введ. 100мг 5мл №5";"1";"STH2304";"10";;;;;;"84891";"84891";"87517";"87517";"01.08.2025";"НДС";"""Sanjivani Paranteral Ltd/Индия"
"""Shandong Qinkai Medical Industry Co., Ltd""";;;;;;;;;;;;;;;;;;
"14";"A34964";;"Система для в/в влив. инф. р-ров однокр. прим. с иглой №1";"1";"20230305";"20650";;;;;;"1440";"1440";"1485";"1485";"01.03.2028";"НДС";"""Shandong Qinkai Medical Industry Co., Ltd""/Китай"
"15";"A53846";;"Система для вливания малые вены однок.прим 21G (бабочка)";"100";"20230731";"60";;;;;;"760";"760";"784";"784";"01.07.2028";"НДС";"""Shandong Qinkai Medical Industry Co., Ltd""/Китай"
"16";"A53848";;"Система для вливания малые вены однок.прим 23G (бабочка)";"100";"20230731.";"1031";;;;;;"679";"679";"700";"700";"01.07.2028";"НДС";"""Shandong Qinkai Medical Industry Co., Ltd""/Китай"
"17";"A53849";;"Система для вливания малые вены однок.прим 24G (бабочка)";"100";"20230731.";"543";;;;;;"679";"679";"700";"700";"01.07.2028";"НДС";"""Shandong Qinkai Medical Industry Co., Ltd""/Китай"
"18";"A53850";;"Система для вливания малые вены однок.прим 25G (бабочка)";"100";"20230731.";"583";;;;;;"679";"679";"700";"700";"01.07.2028";"НДС";"""Shandong Qinkai Medical Industry Co., Ltd""/Китай"
"""VANSH REMEDIES""";;;;;;;;;;;;;;;;;;
"19";"03004250019013001";;"Дорастон супп. ваг. №10";"200";"GS087";"599";;;;;;"63793";"63793";"65766";"65766";"01.07.2025";"НДС";"""VANSH REMEDIES""/Индия"
"""Пик Фарма Про""";;;;;;;;;;;;;;;;;;
"20";"03004499031003001";;"Пантогам сироп 100мл№1";"50";"420923AX";"15";;;;;;"120692";"120692";"124425";"124425";"01.09.2025";"НДС";"""Пик Фарма Про""/Россия"
"21";"03004093001066002";;"Элькар р-р 300мг/мл.25мл№1";"98";"070224BZ";"545";;;;;;"111191";"111191";"114630";"114630";"01.01.2027";"НДС";"""Пик Фарма Про""/Россия"
"22";"03004093001062001";;"Элькар р-р300мг/мл100мл№1";"48";"741123BX";"249";;;;;;"166602";"166602";"171755";"171755";"01.10.2026";"НДС";"""Пик Фарма Про""/Россия"
"""ПИК-ФАРМА ЛЕК""";;;;;;;;;;;;;;;;;;
"23";"03004499031005001";;"Пантогам таб.250мг№50";"128";"J120324D";"2";;;;;;"121299";"121299";"125050";"125050";"01.02.2028";"НДС";"""ПИК-ФАРМА ЛЕК""/Россия"
"''Wokhard''Ltd";;;;;;;;;;;;;;;;;;
"24";"03004451005019004";;"Спазган таб. №100";"100";"DX10689";"7";;;;;;"95720";"95720";"98680";"98680";"01.07.2025";"НДС";"''Wokhard''Ltd/Индия"
"ABBOTT PRODUCTS OPERATIONS AG";;;;;;;;;;;;;;;;;;
"25";"03004507001013004";;"Бетасерк 16мг №30";"100";"726284";"195";;;;;;"96694";"96694";"99685";"99685";"01.12.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"26";"03004411022002001";;"Бруфен гранулы 600мг №30";"24";"1179217";"80";;;;;;"82229";"82229";"84772";"84772";"01.02.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"27";"03004411001012002";;"Бруфен Рапид капс. 400мг №10";"96";"B4Z00423";"1321";;;;;;"19331";"19331";"19929";"19929";"01.10.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"28";"03004411022001001";;"Бруфен Ретард таб. 800мг №20";"100";"48139РС";"1";;;;;;"57022";"57022";"58786";"58786";"01.11.2025";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"29";"03004093002013003";;"Гептрал пор. лиоф. д/приг. р-ра 500мг №5";"42";"F0281B";"222";;;;;;"388761";"388761";"400785";"400785";"01.03.2027";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"30";"03004093002013004";;"Гептрал таб.500мг№20";"96";"1223148";"155";;;;;;"376810";"376810";"388464";"388464";"01.12.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"31";"03004034005005003";;"Дюфалак 200мл";"24";"373692";"988";;;;;;"51230";"51230";"52814";"52814";"01.10.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"32";"03004034005005004";;"Дюфалак 500мл";"12";"373008";"275";;;;;;"94224";"94224";"97138";"97138";"01.10.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"33";"03004034005005001";;"Дюфалак 667мг/мл сироп 15мл №10";"35";"374464";"28";;;;;;"42491";"42491";"43805";"43805";"01.12.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"34";"03004034005006001";;"Дюфалак Mama&Baby сироп 667мг 200мл";"24";"374940";"559";;;;;;"51223";"51223";"52807";"52807";"01.03.2027";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"35";"03004271001001003";;"Дюфастон таб. 10мг №14";"200";"372930";"403";;;;;;"105763";"105763";"109034";"109034";"01.09.2028";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"36";"03004271001001004";;"Дюфастон таб. 10мг №20";"120";"373601.";"2220";;;;;;"175437";"175437";"180863";"180863";"01.11.2028";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"37";"03004402017001002";;"Имудон таб.№40";"90";"610524";"6";;;;;;"111474";"111474";"114922";"114922";"01.04.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"38";"03004322007018001";;"Клацид гран.сусп.125мг/5мл.100мл№1 Кларитромицин";"48";"1207402";"1";;;;;;"120302";"120302";"124023";"124023";"01.08.2025";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"39";"03004053002040001";;"Креон капс 10000 №20";"300";"64531";"722";;;;;;"48633";"48633";"50137";"50137";"01.12.2025";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"40";"03004053002040002";;"Креон капс 25000 №20";"160";"64739";"384";;;;;;"103635";"103635";"106840";"106840";"01.01.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"41";"03004192003002001";;"Трайкор таб. 145мг №30";"216";"35968";"117";;;;;;"190780";"190780";"196680";"196680";"01.10.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"42";"03004493005001004";;"Феварин 100мг №15";"100";"725857";"16";;;;;;"123796";"123796";"127625";"127625";"01.08.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"43";"03004274004001004";;"Фемостон 1/10 №28";"200";"З71595";"66";;;;;;"119286";"119286";"122975";"122975";"01.03.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"44";"03004274004001005";;"Фемостон 2/10 №28";"200";"373250";"216";;;;;;"114862";"114862";"118414";"118414";"01.10.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"45";"03004273018001001";;"Фемостонконти 1/5 №28";"200";"372934.";"4";;;;;;"115188";"115188";"118750";"118750";"01.08.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"46";"03004145003002002";;"Физиотенс таб №14";"100";"724539";"826";;;;;;"59730";"59730";"61577";"61577";"01.10.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"Accuwell Medics Private Limited";;;;;;;;;;;;;;;;;;
"47";"A54427";;"Инокейр саше пакет 3г №20";"1";"23/02";"12";;;;;;"155050";"155050";"159845";"159845";"01.07.2026";"БАД";"Accuwell Medics Private Limited/Индия"
"ACI Limited";;;;;;;;;;;;;;;;;;
"48";"03004061004002001";;"Аптин-М таб.50/500мг№30";"102";"AI167";"31";;;;;;"117528";"117528";"117528";"117528";"01.09.2025";"НДС";"ACI Limited/Бангладеш"
"49";"03004061004002002";;"Аптин-М таб.50/850мг№30";"102";"AI170";"37";;;;;;"148980";"148980";"148980";"148980";"01.09.2025";"НДС";"ACI Limited/Бангладеш"
"Actavis";;;;;;;;;;;;;;;;;;
"50";"03004166002005003";"3800009121013";"Алмагель  А 170мл.сус.";"42";"145495";"5205";;;;;;"35313";"35313";"35313";"35313";"01.11.2025";"НДС";"Actavis/Болгария"
"51";"03004409019001002";;"Индовазин гель 45г";"195";"140636";"862";;;;;;"37727";"37727";"37727";"37727";"01.08.2025";"НДС";"Actavis/Болгария"
"52";"03004022008003002";;"Спазмалгон таб №20";"240";"144820";"2362";;;;;;"21641";"21641";"21641";"21641";"01.09.2025";"НДС";"Actavis/Болгария"
"53";"03004535008003001";;"Эфизол таб. №20";"240";"178823";"121";;;;;;"23315";"23315";"24036";"24036";"01.09.2026";"НДС";"Actavis/Болгария"
"Aculife Healthcare Private Limited";;;;;;;;;;;;;;;;;;
"54";"03004117001004001";;"Акумин-Гепа р-р.инф.8%.250мл№1";"16";"5L30445";"169";;;;;;"115687";"115687";"119265";"119265";"01.11.2025";"НДС";"Aculife Healthcare Private Limited/Индия"
"55";"03004117001035002";;"Нирмин-10 Плюс р-р для инф. 200мл";"16";"5G30237";"131";;;;;;"100240";"100240";"103340";"103340";"01.06.2025";"НДС";"Aculife Healthcare Private Limited/Индия"
"AdvaCare Pharma";;;;;;;;;;;;;;;;;;
"56";"03004297002045001";;"ДексаКейр р-р д/инъек.4мг/мл 1мл №10 (Дексаметазон)";"400";"220918";"160";;;;;;"8615";"8615";"8882";"8882";"01.09.2025";"НДС";"AdvaCare Pharma/США"
"ADVANCE PHARMACEUTICAL BUSINESS";;;;;;;;;;;;;;;;;;
"57";"03004563008006001";;"Алернова таб. 5мг №10";"675";"B2405";"45";;;;;;"26054";"26054";"26860";"26860";"01.01.2027";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"58";"03004098001007001";;"Витагриель таб.75мг№30";"240";"G2305";"50";;;;;;"69379";"69379";"71525";"71525";"01.06.2026";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"59";"03004452002159002";;"Ибуфаст таб.400мг+325мг№100 Ибупрофен+Парацетамол";"100";"G2219";"3";;;;;;"79283";"79283";"81735";"81735";"01.06.2025";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"60";"03004452002155003";;"Колдрилиф таб. 500мг+10мг+2мг+30мг №100 (25*4)";"60";"G2223";"35";;;;;;"78895";"78895";"81335";"81335";"01.06.2025";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"61";"03004326008003007";;"Левомак р-р.инф.500мг/100мл№1";"84";"23830517";"4";;;;;;"63713";"63713";"65684";"65684";"01.10.2026";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"62";"03004326008003008";;"Левомак таб.500мг№5";"20";"ELN23001D.";"11";;;;;;"48824";"48824";"50335";"50335";"01.07.2026";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"63";"03004014020001001";;"Мукоген таб.100мг№30";"20";"ARC2319A";"100";;;;;;"83357";"83357";"85935";"85935";"01.09.2026";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"64";"03004187008004001";;"Олмесар таб.20мг№28";"20";"FOY02203A";"13";;;;;;"67795";"67795";"69892";"69892";"01.06.2025";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"65";"03004188007001001";;"Олмесар.Г.таб.20мг/12.5мг№28";"20";"FOZ02203A";"9";;;;;;"72250";"72250";"74485";"74485";"01.07.2025";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"66";"03004414020001001";;"Орцерин капс.50мг№30";"120";"EOT24001A";"12";;;;;;"61178";"61178";"63070";"63070";"01.12.2026";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"67";"03004012004011001";;"Рабемак-DSR капс.№20";"120";"FRG02401B";"102";;;;;;"80838";"80838";"83338";"83338";"01.12.2025";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"68";"03004556006001001";;"Рапитус сироп30мг/5мл120мл№1";"50";"BLP32401A";"20";;;;;;"50920";"50920";"52495";"52495";"01.12.2026";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"69";"03004409005033002";;"Флексипарум таб. 50мг+500мг №100";"150";"H2202";"5";;;;;;"59524";"59524";"61365";"61365";"01.07.2025";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"70";"03004422012001002";;"Флексипарум-Нео гель 30г.№1 Диклофенак+Парацетамол";"300";"111";"20";;;;;;"28329";"28329";"29205";"29205";"01.10.2026";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"71";"03004416002002008";;"Хондровелл таб.500мг/400мг.№30";"100";"F2322";"7";;;;;;"68579";"68579";"70700";"70700";"01.05.2026";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"Advanced Chemical Industries Ltd";;;;;;;;;;;;;;;;;;
"72";"A57004";;"Цефиксид 400 таб.400мг №7";"1";"KC002";"6";;;;;;"56362";"56362";"58105";"58105";"01.12.2025";"НДС";"Advanced Chemical Industries Ltd/Бангладеш"
"Afflatus Lab OOO";;;;;;;;;;;;;;;;;;
"73";"A8793";;"Лейкопластырь гигиен.19мм*72мм№500";"30";"43";"4";;;;;;"76675";"76675";"79046";"79046";"01.01.2026";"НДС";"Afflatus Lab OOO/Узбекистан"
"74";"A27603";;"Лейкопластырь гигиен. хлопчат. рулонный 1см*5м";"1";"43";"50";;;;;;"2347";"2347";"2420";"2420";"01.01.2026";"НДС";"Afflatus Lab OOO/Узбекистан"
"75";"A27605";;"Лейкопластырь гигиен. хлопчат. рулонный 3см*5м";"1";"43";"60";;;;;;"7042";"7042";"7260";"7260";"01.01.2026";"НДС";"Afflatus Lab OOO/Узбекистан"
"76";"A27602";;"Лейкопластырь гигиен. шелковой рулонный 1см*5м";"1";"43";"5";;;;;;"2347";"2347";"2420";"2420";"01.01.2026";"НДС";"Afflatus Lab OOO/Узбекистан"
"AGIO Pharmaceuticals, Индия";;;;;;;;;;;;;;;;;;
"77";"03004284002083002";;"Аджигра таб.100мг№4 Силденафил";"600";"Т23299";"100";;;;;;"9855";"9855";"10160";"10160";"01.12.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"78";"03004535008004003";;"Аджисепт пастилки  классич №24";"120";"10122321";"382";;;;;;"26189";"26189";"26999";"26999";"01.09.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"79";"03004535007001029";;"Аджисепт пастилки ананас №24";"120";"10182303";"375";;;;;;"26239";"26239";"27050";"27050";"01.02.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"80";"03004535007001026";;"Аджисепт пастилки апельсин №24";"120";"10162305";"444";;;;;;"26190";"26190";"27000";"27000";"01.02.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"81";"03004535007001018";"8901043001042";"Аджисепт пастилки банан №24";"120";"10472302";"253";;;;;;"26239";"26239";"27050";"27050";"01.09.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"82";"03004535007001019";"4823002229264";"Аджисепт пастилки вишня №24";"120";"10462302";"3";;;;;;"26234";"26234";"27045";"27045";"01.04.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"83";"03004535007001032";"3838989555405";"Аджисепт пастилки клубника №24";"120";"10172305";"137";;;;;;"26239";"26239";"27050";"27050";"01.09.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"84";"03004535007001038";;"Аджисепт пастилки лимон №24";"120";"10152307";"5";;;;;;"26190";"26190";"27000";"27000";"01.02.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"85";"03004535007001024";;"Аджисепт пастилки малина №24";"120";"10452302";"4";;;;;;"26190";"26190";"27000";"27000";"01.04.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"86";"03004535007001028";;"Аджисепт пастилки мёд №24";"120";"10482301.";"266";;;;;;"26189";"26189";"26999";"26999";"01.04.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"87";"03004535008004011";;"Аджисепт пастилки ментол и эвкалипт №24";"120";"10142344";"462";;;;;;"26190";"26190";"27000";"27000";"01.09.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"88";"03004012001010001";;"Омепразол-Аджио капс.20мг№30";"180";"C23059";"6409";;;;;;"8496";"8496";"8759";"8759";"01.07.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"89";"03004321001058002";;"Бикотрим сусп.240мг/5мл.60мл№1 Ко-тримоксазол";"80";"L23047";"600";;;;;;"16199";"16199";"16700";"16700";"01.05.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"90";"03004003001004002";;"Дексаметазон-Аджио амп.4мг/мл.1мл№25";"105";"I24012";"5213";;;;;;"26559";"26559";"27380";"27380";"01.12.2025";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"91";"03004229001003001";;"Клотриз крем15г№1 Клотримазол+Бетаметазон+Гентамицин";"480";"E23472";"38";;;;;;"43538";"43538";"44885";"44885";"01.11.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"92";"03004326008155001";;"Левофаст раствор 500мг/100мг по 100мл";"100";"23212304";"134";;;;;;"53947";"53947";"55615";"55615";"01.03.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"93";"03004174008008002";;"Небобета таб.5мг№30";"600";"T24050";"253";;;;;;"20342";"20342";"20971";"20971";"01.06.2027";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"94";"03004002022001001";;"Аджиметрил стоматолог гель.20г№1";"300";"E24272";"2";;;;;;"25820";"25820";"26619";"26619";"01.04.2027";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"95";"03004535007046002";;"Аджисепт плюс пастилки ментол и эвкалипт №24";"120";"10012201.";"12";;;;;;"30414";"30414";"31355";"31355";"01.12.2024";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"96";"03004535008004008";;"Аджисепт плюс пастилки мёд и лимон №24";"120";"10002201.";"26";;;;;;"30414";"30414";"31355";"31355";"01.12.2024";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"97";"A33766";;"Ацинопраз лиоф пор. д/инъек. 40мг №1 фл.";"300";"SD23H009E";"42";;;;;;"59912";"59912";"61765";"61765";"01.07.2025";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"98";"A28714";;"Клотриз крем для наружного приминения 30г №1";"10";"E23017";"1";;;;;;"51555";"51555";"53150";"53150";"01.12.2025";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"99";"03004947005001001";;"Кофасма сироп 100мл№1";"80";"L23019";"15";;;;;;"38887";"38887";"40090";"40090";"01.02.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"100";"A57844";;"Ксавитор 20 таб.20мг №28 (Ривароксабан)";"360";"T23154B";"59";;;;;;"212882";"212882";"219466";"219466";"01.06.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"101";"03004220006009001";;"Мезамакс крем 0.1% 15г.№1";"480";"E23011";"3";;;;;;"41240";"41240";"42515";"42515";"01.12.2025";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"102";"03004414004037002";;"Нимефаст пор. д/приг сусп.100мг №30 со вкусом Апельсин";"90";"P23050";"13";;;;;;"77784";"77784";"80190";"80190";"01.05.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"103";"03004012002036";;"Панзак лиоф.пор д/приг. р-р.40мг№1 (пантопразол)";"300";"SD23J009Е";"1218";;;;;;"55513";"55513";"57230";"57230";"01.09.2025";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"104";"03004012002036001";;"Панзак таб 40мг №30";"240";"Т23223";"120";;;;;;"70563";"70563";"72745";"72745";"01.09.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"105";"03004326002048001";;"Ципрофлоксацин-Аджио таб. 500мг №100";"75";"Т23158";"213";;;;;;"70029";"70029";"72195";"72195";"01.07.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"Akriti Pharmaceuticals Pvt. Ltd";;;;;;;;;;;;;;;;;;
"106";"03004252027001001";;"Аквидин ваг.таб.200мг.№10 Повидон-йод";"1";"ATC058";"5";;;;;;"36732";"36732";"37867";"37867";"01.12.2024";"НДС";"Akriti Pharmaceuticals Pvt. Ltd/Индия"
"107";"03004098001002001";;"Акривикс 75 №30";"1";"ATE133";"5";;;;;;"42680";"42680";"44000";"44000";"01.04.2027";"НДС";"Akriti Pharmaceuticals Pvt. Ltd/Индия"
"108";"03004551002001006";;"Акмонт таб. 5мг №10";"20";"ATC232";"51";;;;;;"14822";"14822";"15280";"15280";"01.06.2025";"НДС";"Akriti Pharmaceuticals Pvt. Ltd/Индия"
"109";"03004216002004001";;"Ациклов крем 5% 5г";"1";"C004";"17";;;;;;"5775";"5775";"5953";"5953";"01.06.2025";"НДС";"Akriti Pharmaceuticals Pvt. Ltd/Индия"
"Alchemy Medicines";;;;;;;;;;;;;;;;;;
"110";"A58124";;"Тазораксон пор. д/приг р-ра для в.в/в.м введ.1000мг/125мг №1";"1";"EC-2302";"20";;;;;;"61420";"61420";"63320";"63320";"01.10.2025";"НДС";"Alchemy Medicines/Индия"
"Alfasigma S.p.A.";;;;;;;;;;;;;;;;;;
"111";"03004097006002002";;"Вессел-Дуэ Ф амп.600ЛЕ/2мл№10";"80";"25893";"160";;;;;;"366061";"366061";"377382";"377382";"01.11.2027";"НДС";"Alfasigma S.p.A./Италия"
"112";"03004097006002001";;"Вессел-Дуэ Ф капс.250ЛЕ.№50";"80";"25290";"90";;;;;;"376635";"376635";"388284";"388284";"01.03.2027";"НДС";"Alfasigma S.p.A./Италия"
"113";"03004141003011002";;"Неотон пор.инъек.1г.№1";"96";"29011";"68";;;;;;"190570";"190570";"196464";"196464";"01.03.2027";"НДС";"Alfasigma S.p.A./Италия"
"Ali Raif ILak San";;;;;;;;;;;;;;;;;;
"114";"03004059001045002";;"Асформин таб.850мг№100";"120";"23072075";"18";;;;;;"55663";"55663";"57385";"57385";"01.07.2026";"НДС";"Ali Raif ILak San/Турция"
"115";"03004098001053001";;"Дилютикс таб.75мг№28 Клопидогрел";"30";"24010041";"24";;;;;;"119257";"119257";"122945";"122945";"01.01.2026";"НДС";"Ali Raif ILak San/Турция"
"116";"03004493006011001";;"Дорепам таб.10мг№28 Антидепрессант";"50";"23092952";"18";;;;;;"71553";"71553";"73766";"73766";"01.09.2025";"НДС";"Ali Raif ILak San/Турция"
"117";"03004564009002001";;"Зефексал таб.120мг№20";"50";"23092772";"84";;;;;;"55057";"55057";"56760";"56760";"01.09.2025";"НДС";"Ali Raif ILak San/Турция"
"118";"03004175001013001";;"Кардива таб.12.5мг№28";"30";"23103236";"17";;;;;;"67294";"67294";"69375";"69375";"01.10.2025";"НДС";"Ali Raif ILak San/Турция"
"119";"03004175001013002";;"Кардива таб.25мг№28";"30";"23092632";"36";;;;;;"77947";"77947";"80358";"80358";"01.09.2025";"НДС";"Ali Raif ILak San/Турция"
"120";"03004175001013003";;"Кардива таб.6.25мг№28";"30";"24010244";"54";;;;;;"39604";"39604";"40829";"40829";"01.01.2026";"НДС";"Ali Raif ILak San/Турция"
"Allianz Biosciences Pvt Ltd";;;;;;;;;;;;;;;;;;
"121";"A18804";;"Максибаланс капс. 200мг №10";"120";"BAF23E01A";"3";;;;;;"38649";"38649";"39844";"39844";"01.06.2025";"БАД";"Allianz Biosciences Pvt Ltd/Индия"
"Amoun Pharmaceutical Co.";;;;;;;;;;;;;;;;;;
"122";"03004435001001001";;"Рибатран таб.№20";"40";"233913";"40";;;;;;"177680";"177680";"183175";"183175";"01.08.2026";"НДС";"Amoun Pharmaceutical Co./Египет"
"Ananta Medicare Limited";;;;;;;;;;;;;;;;;;
"123";"A34744";;"Анантавати кидс сироп 200мл№1";"48";"17023031";"3";;;;;;"74690";"74690";"77000";"77000";"01.02.2026";"БАД";"Ananta Medicare Limited/Индия"
