;;;;;;;;;;;;;;;;;;
"Абдулхаев Фаррух";;;;;;;;;;;;;;;;;;
"Price List";;;;;;;;;;;;;;;;;;
"03 окт 2024";;;;;;;;;;;;;;;;;;
"в„–";"Code";"Barcode";"Name";"Qty per Box";"Card Number";"Balance";"Your order";"Price Type: Акция";"Акция with margin";"Price Type: Возврат";"Возврат with margin";"Price Type: При 100% Оплате (перечисление)";"При 100% Оплате (перечисление) with margin";"Price Type: Цена договорная (перечисление)";"Цена договорная (перечисление) with margin";"Expiry Date";"Группа";"Producer"
"""Пик Фарма Про""";;;;;;;;;;;;;;;;;;
"17";"03004093001066002";;"Элькар р-р 300мг/мл.25мл№1";"98";"070224BZ";"469";;;;;;"111191";"111191";"114630";"114630";"01.01.2027";"НДС";"""Пик Фарма Про""/Россия"
"18";"03004093001062003";;"Элькар р-р.300мг/мл.50мл№1";"50";"831123BY";"27";;;;;;"120217";"120217";"123935";"123935";"01.11.2026";"НДС";"""Пик Фарма Про""/Россия"
"19";"03004093001062001";;"Элькар р-р300мг/мл100мл№1";"48";"861223BX";"429";;;;;;"166602";"166602";"171755";"171755";"01.12.2026";"НДС";"""Пик Фарма Про""/Россия"
"""ПИК-ФАРМА ЛЕК""";;;;;;;;;;;;;;;;;;
"20";"03004499031006001";;"Пантогам-Актив капс.300мг№60";"70";"L040423F";"810";;;;;;"144431";"144431";"148898";"148898";"01.04.2026";"НДС";"""ПИК-ФАРМА ЛЕК""/Россия"
"ABBOTT PRODUCTS OPERATIONS AG";;;;;;;;;;;;;;;;;;
"21";"03004507001013004";;"Бетасерк 16мг №30";"100";"726284";"552";;;;;;"96694";"96694";"99685";"99685";"01.12.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"22";"03004507001001006";;"Бетасерк 24мг №20";"100";"725086";"11";;;;;;"92475";"92475";"95335";"95335";"01.10.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"23";"03004411022002001";;"Бруфен гранулы 600мг №30";"24";"1179217";"134";;;;;;"82229";"82229";"84772";"84772";"01.02.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"24";"03004411001012002";;"Бруфен Рапид капс. 400мг №10";"96";"B4Z00423";"1294";;;;;;"19331";"19331";"19929";"19929";"01.10.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"25";"03004411022001001";;"Бруфен Ретард таб. 800мг №20";"100";"54152PC";"26";;;;;;"57022";"57022";"58786";"58786";"01.05.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"26";"03004093002013003";;"Гептрал пор. лиоф. д/приг. р-ра 500мг №5";"42";"F0281B";"158";;;;;;"388761";"388761";"400785";"400785";"01.03.2027";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"27";"03004093002013004";;"Гептрал таб.500мг№20";"96";"1223148";"256";;;;;;"376810";"376810";"388464";"388464";"01.12.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"28";"03004034005005003";;"Дюфалак 200мл";"24";"373692";"369";;;;;;"51230";"51230";"52814";"52814";"01.10.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"29";"03004034005005004";;"Дюфалак 500мл";"12";"373008";"526";;;;;;"94224";"94224";"97138";"97138";"01.10.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"30";"03004034005005001";;"Дюфалак 667мг/мл сироп 15мл №10";"35";"374464";"231";;;;;;"42491";"42491";"43805";"43805";"01.12.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"31";"03004034005006001";;"Дюфалак Mama&Baby сироп 667мг 200мл";"24";"374940";"119";;;;;;"51223";"51223";"52807";"52807";"01.03.2027";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"32";"03004271001001003";;"Дюфастон таб. 10мг №14";"200";"372930";"505";;;;;;"105763";"105763";"109034";"109034";"01.09.2028";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"33";"03004271001001004";;"Дюфастон таб. 10мг №20";"120";"373601.";"2275";;;;;;"175437";"175437";"180863";"180863";"01.11.2028";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"34";"03004402017001002";;"Имудон таб.№40";"90";"290324.";"39";;;;;;"112918";"112918";"116410";"116410";"01.02.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"35";"03004567004001001";;"ИРС - 19  спрей 20 мл";"80";"130923";"5";;;;;;"92774";"92774";"95643";"95643";"01.04.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"36";"A16035";;"Клацид сусп.125мг/5мл.60мл№1 Кларитромицин";"56";"1214768";"60";;;;;;"83595";"83595";"86180";"86180";"01.09.2025";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"37";"03004322007018001";;"Клацид гран.сусп.125мг/5мл.100мл№1 Кларитромицин";"48";"1207402";"110";;;;;;"120302";"120302";"124023";"124023";"01.08.2025";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"38";"03004053002040001";;"Креон капс 10000 №20";"300";"64597";"5599";;;;;;"53229";"53229";"54875";"54875";"01.12.2025";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"39";"03004192003002001";;"Трайкор таб. 145мг №30";"216";"35968";"338";;;;;;"190780";"190780";"196680";"196680";"01.10.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"40";"03004493005001004";;"Феварин 100мг №15";"100";"725857";"68";;;;;;"123796";"123796";"127625";"127625";"01.08.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"41";"03004274004001004";;"Фемостон 1/10 №28";"200";"З71595";"4";;;;;;"119286";"119286";"122975";"122975";"01.03.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"42";"03004274004001005";;"Фемостон 2/10 №28";"200";"373250";"175";;;;;;"114862";"114862";"118414";"118414";"01.10.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"43";"03004273018001001";;"Фемостонконти 1/5 №28";"200";"372934";"71";;;;;;"115188";"115188";"118750";"118750";"01.08.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"44";"03004145003002002";;"Физиотенс таб №14";"100";"725996";"1203";;;;;;"59730";"59730";"61577";"61577";"01.10.2026";"НДС";"ABBOTT PRODUCTS OPERATIONS AG/Швецария"
"ABiPharm,ООО,";;;;;;;;;;;;;;;;;;
"45";"03004311001002002";"4860102320026";"Абилот пор.инъек.1.5г./1,0/0,5г№1 Ампиц+Сульбакт.";"450";"18021123";"5";;;;;;"47724";"47724";"49200";"49200";"01.10.2026";"НДС";"ABiPharm,ООО,/Грузия"
"Accuwell Medics Private Limited";;;;;;;;;;;;;;;;;;
"46";"A54427";;"Инокейр саше пакет 3г №20";"1";"23/02";"13";;;;;;"155050";"155050";"159845";"159845";"01.07.2026";"БАД";"Accuwell Medics Private Limited/Индия"
"ACI Limited";;;;;;;;;;;;;;;;;;
"47";"03004061004002001";;"Аптин-М таб.50/500мг№30";"102";"AI167";"1";;;;;;"117528";"117528";"117528";"117528";"01.09.2025";"НДС";"ACI Limited/Бангладеш"
"48";"03004061004002002";;"Аптин-М таб.50/850мг№30";"102";"AI168";"93";;;;;;"148980";"148980";"148980";"148980";"01.09.2025";"НДС";"ACI Limited/Бангладеш"
"Actavis";;;;;;;;;;;;;;;;;;
"49";"03004166002005003";"3800009121013";"Алмагель  А 170мл.сус.";"42";"149480";"12937";;;;;;"35313";"35313";"35313";"35313";"01.02.2026";"НДС";"Actavis/Болгария"
"50";"03004409019001002";;"Индовазин гель 45г";"195";"140636";"540";;;;;;"37727";"37727";"37727";"37727";"01.08.2025";"НДС";"Actavis/Болгария"
"51";"03004022008003002";;"Спазмалгон таб №20";"240";"144820";"4654";;;;;;"21641";"21641";"21641";"21641";"01.09.2025";"НДС";"Actavis/Болгария"
"52";"03004535008003001";;"Эфизол таб. №20";"240";"178823";"2865";;;;;;"23315";"23315";"24036";"24036";"01.09.2026";"НДС";"Actavis/Болгария"
"Aculife Healthcare Private Limited";;;;;;;;;;;;;;;;;;
"53";"03004117001004001";;"Акумин-Гепа р-р.инф.8%.250мл№1";"16";"5L30445";"164";;;;;;"115687";"115687";"119265";"119265";"01.11.2025";"НДС";"Aculife Healthcare Private Limited/Индия"
"AdvaCare Pharma";;;;;;;;;;;;;;;;;;
"54";"03004297002045001";;"ДексаКейр р-р д/инъек.4мг/мл 1мл №10 (Дексаметазон)";"400";"240216";"920";;;;;;"7081";"7081";"7300";"7300";"01.02.2027";"НДС";"AdvaCare Pharma/США"
"ADVANCE PHARMACEUTICAL BUSINESS";;;;;;;;;;;;;;;;;;
"55";"03004098001007001";;"Витагриель таб.75мг№30";"240";"G2304.";"30";;;;;;"69379";"69379";"71525";"71525";"01.06.2026";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"56";"03004452002159002";;"Ибуфаст таб.400мг+325мг№100 Ибупрофен+Парацетамол";"100";"G2220";"2";;;;;;"79283";"79283";"81735";"81735";"01.06.2025";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"57";"03004452002155003";;"Колдрилиф таб. 500мг+10мг+2мг+30мг №100 (25*4)";"60";"G2222";"2";;;;;;"78895";"78895";"81335";"81335";"01.06.2025";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"58";"03004326008003007";;"Левомак р-р.инф.500мг/100мл№1";"84";"238З0519";"345";;;;;;"63713";"63713";"65684";"65684";"01.10.2026";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"59";"03004326008003008";;"Левомак таб.500мг№5";"20";"ELN23001D.";"2";;;;;;"48824";"48824";"50335";"50335";"01.07.2026";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"60";"03004059001016003";;"Метафаж таб.1000мг№30";"330";"F2314.";"9";;;;;;"25855";"25855";"26655";"26655";"01.05.2026";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"61";"03004014020001001";;"Мукоген таб.100мг№30";"20";"ARC2319A";"435";;;;;;"83357";"83357";"85935";"85935";"01.09.2026";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"62";"03004187008004001";;"Олмесар таб.20мг№28";"20";"FOY02203A";"83";;;;;;"67795";"67795";"69892";"69892";"01.06.2025";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"63";"03004188007001001";;"Олмесар.Г.таб.20мг/12.5мг№28";"20";"FOZ02203A";"22";;;;;;"72250";"72250";"74485";"74485";"01.07.2025";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"64";"03004012004011001";;"Рабемак-DSR капс.№20";"120";"FRG02401B";"58";;;;;;"80838";"80838";"83338";"83338";"01.12.2025";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"65";"03004556006001001";;"Рапитус сироп30мг/5мл120мл№1";"50";"BLP32401A";"110";;;;;;"50920";"50920";"52495";"52495";"01.12.2026";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"66";"03004409005033002";;"Флексипарум таб. 50мг+500мг №100";"150";"H2202";"6";;;;;;"59524";"59524";"61365";"61365";"01.07.2025";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"67";"03004416002002008";;"Хондровелл таб.500мг/400мг.№30";"100";"F2322";"21";;;;;;"68579";"68579";"70700";"70700";"01.05.2026";"НДС";"ADVANCE PHARMACEUTICAL BUSINESS/Индия"
"Advanced Chemical Industries Ltd";;;;;;;;;;;;;;;;;;
"68";"A57004";;"Цефиксид 400 таб.400мг №7";"1";"KC002";"3";;;;;;"56362";"56362";"58105";"58105";"01.12.2025";"НДС";"Advanced Chemical Industries Ltd/Бангладеш"
"Afflatus Lab OOO";;;;;;;;;;;;;;;;;;
"69";"A8795";;"Лейкопластырь гигиен. шелковой рулонный  3см*5м";"350";"43";"10";;;;;;"7042";"7042";"7260";"7260";"01.01.2026";"НДС";"Afflatus Lab OOO/Узбекистан"
"70";"A27603";;"Лейкопластырь гигиен. хлопчат. рулонный 1см*5м";"1";"43";"30";;;;;;"2347";"2347";"2420";"2420";"01.01.2026";"НДС";"Afflatus Lab OOO/Узбекистан"
"71";"A27605";;"Лейкопластырь гигиен. хлопчат. рулонный 3см*5м";"1";"43";"20";;;;;;"7042";"7042";"7260";"7260";"01.01.2026";"НДС";"Afflatus Lab OOO/Узбекистан"
"72";"A27602";;"Лейкопластырь гигиен. шелковой рулонный 1см*5м";"1";"43";"5";;;;;;"2347";"2347";"2420";"2420";"01.01.2026";"НДС";"Afflatus Lab OOO/Узбекистан"
"AGIO Pharmaceuticals, Индия";;;;;;;;;;;;;;;;;;
"73";"03004284002083002";;"Аджигра таб.100мг№4 Силденафил";"600";"T23301";"398";;;;;;"9855";"9855";"10160";"10160";"01.12.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"74";"03004535008004003";;"Аджисепт пастилки  классич №24";"120";"10122321";"683";;;;;;"26189";"26189";"26999";"26999";"01.09.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"75";"03004535007001029";;"Аджисепт пастилки ананас №24";"120";"10182303";"647";;;;;;"26239";"26239";"27050";"27050";"01.02.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"76";"03004535007001026";;"Аджисепт пастилки апельсин №24";"120";"10162305";"576";;;;;;"26190";"26190";"27000";"27000";"01.02.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"77";"03004535007001018";"8901043001042";"Аджисепт пастилки банан №24";"120";"10472302";"643";;;;;;"26239";"26239";"27050";"27050";"01.09.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"78";"03004535007001019";"4823002229264";"Аджисепт пастилки вишня №24";"120";"10462302";"31";;;;;;"26234";"26234";"27045";"27045";"01.04.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"79";"03004535007001032";"3838989555405";"Аджисепт пастилки клубника №24";"120";"10172305";"164";;;;;;"26239";"26239";"27050";"27050";"01.09.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"80";"03004535007001038";;"Аджисепт пастилки лимон №24";"120";"10152307";"10";;;;;;"26190";"26190";"27000";"27000";"01.02.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"81";"03004535007001024";;"Аджисепт пастилки малина №24";"120";"10452304";"430";;;;;;"26190";"26190";"27000";"27000";"01.09.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"82";"03004535007001028";;"Аджисепт пастилки мёд №24";"120";"10482301.";"19";;;;;;"26189";"26189";"26999";"26999";"01.04.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"83";"03004535008004007";;"Аджисепт пастилки мёд и лимон №24";"120";"10132315.";"78";;;;;;"26189";"26189";"26999";"26999";"01.04.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"84";"03004535008004011";;"Аджисепт пастилки ментол и эвкалипт №24";"120";"10142344";"600";;;;;;"26190";"26190";"27000";"27000";"01.09.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"85";"03004012001010001";;"Омепразол-Аджио капс.20мг№30";"180";"C23055";"16181";;;;;;"8496";"8496";"8759";"8759";"01.07.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"86";"03004321001058002";;"Бикотрим сусп.240мг/5мл.60мл№1 Ко-тримоксазол";"80";"L23047";"295";;;;;;"16199";"16199";"16700";"16700";"01.05.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"87";"03004003001004002";;"Дексаметазон-Аджио амп.4мг/мл.1мл№25";"105";"I23095";"1";;;;;;"26559";"26559";"27380";"27380";"01.11.2025";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"88";"03004326008155001";;"Левофаст раствор 500мг/100мг по 100мл";"100";"23212202.";"2";;;;;;"47773";"47773";"49250";"49250";"01.06.2025";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"89";"03004046004002001";;"Преднизалон амп.30мг/1мл№3";"400";"I23049A";"3342";;;;;;"9613";"9613";"9910";"9910";"01.08.2025";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"90";"03004419008004002";;"Аджикло-Супер гель.5%30г№1";"240";"E23018";"24";;;;;;"36827";"36827";"37966";"37966";"01.12.2025";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"91";"03004002022001001";;"Аджиметрил стоматолог гель.20г№1";"300";"E24272";"3";;;;;;"25820";"25820";"26619";"26619";"01.04.2027";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"92";"03004535008004008";;"Аджисепт плюс пастилки мёд и лимон №24";"120";"10002201.";"33";;;;;;"30414";"30414";"31355";"31355";"01.12.2024";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"93";"A33766";;"Ацинопраз лиоф пор. д/инъек. 40мг №1 фл.";"300";"SD23H009E";"84";;;;;;"59912";"59912";"61765";"61765";"01.07.2025";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"94";"A57844";;"Ксавитор 20 таб.20мг №28 (Ривароксабан)";"360";"T23154B";"56";;;;;;"212882";"212882";"219466";"219466";"01.06.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"95";"03004220006009001";;"Мезамакс крем 0.1% 15г.№1";"480";"Е23011";"3";;;;;;"41240";"41240";"42515";"42515";"01.12.2025";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"96";"03004414004037002";;"Нимефаст пор. д/приг сусп.100мг №30 со вкусом Апельсин";"90";"P23050";"197";;;;;;"77784";"77784";"80190";"80190";"01.05.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"97";"03004012002036";;"Панзак лиоф.пор д/приг. р-р.40мг№1 (пантопразол)";"300";"SD23J009Е";"1986";;;;;;"55513";"55513";"57230";"57230";"01.09.2025";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"98";"03004012002036001";;"Панзак таб 40мг №30";"240";"Т23223";"154";;;;;;"70563";"70563";"72745";"72745";"01.09.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"99";"03004326002048001";;"Ципрофлоксацин-Аджио таб. 500мг №100";"75";"T23286";"71";;;;;;"64797";"64797";"66801";"66801";"01.12.2026";"НДС";"AGIO Pharmaceuticals, Индия/Индия"
"Akriti Pharmaceuticals Pvt. Ltd";;;;;;;;;;;;;;;;;;
"100";"03004551002001006";;"Акмонт таб. 5мг №10";"20";"ATC232";"40";;;;;;"14822";"14822";"15280";"15280";"01.06.2025";"НДС";"Akriti Pharmaceuticals Pvt. Ltd/Индия"
"Alchemy Medicines";;;;;;;;;;;;;;;;;;
"101";"A58124";;"Тазораксон пор. д/приг р-ра для в.в/в.м введ.1000мг/125мг №1";"1";"EC-2302";"20";;;;;;"61420";"61420";"63320";"63320";"01.10.2025";"НДС";"Alchemy Medicines/Индия"
"Alfasigma S.p.A.";;;;;;;;;;;;;;;;;;
"102";"03004097006002001";;"Вессел-Дуэ Ф капс.250ЛЕ.№50";"80";"25290";"123";;;;;;"376635";"376635";"388284";"388284";"01.03.2027";"НДС";"Alfasigma S.p.A./Италия"
"103";"03004141003011002";;"Неотон пор.инъек.1г.№1";"96";"29010";"425";;;;;;"190570";"190570";"196464";"196464";"01.03.2027";"НДС";"Alfasigma S.p.A./Италия"
"ALG Ilac Sanayi Tic Ltd.";;;;;;;;;;;;;;;;;;
"104";"03004419013001000";;"КадиВит капли Д3+К2 витамин 20мл";"64";"KADI2310";"64";;;;;;"101365";"101365";"104500";"104500";"01.01.2027";"БАД";"ALG Ilac Sanayi Tic Ltd./Турция"
"Ali Raif ILak San";;;;;;;;;;;;;;;;;;
"105";"03004098001053001";;"Дилютикс таб.75мг№28 Клопидогрел";"30";"24010041";"5";;;;;;"119257";"119257";"122945";"122945";"01.01.2026";"НДС";"Ali Raif ILak San/Турция"
"106";"03004493006011001";;"Дорепам таб.10мг№28 Антидепрессант";"50";"23092952";"67";;;;;;"71553";"71553";"73766";"73766";"01.09.2025";"НДС";"Ali Raif ILak San/Турция"
"107";"03004493006011002";;"Дорепам таб.20мг№28 Антидепрессант";"50";"23072242";"39";;;;;;"113208";"113208";"116709";"116709";"01.07.2025";"НДС";"Ali Raif ILak San/Турция"
"108";"03004564009002001";;"Зефексал таб.120мг№20";"50";"23092772";"45";;;;;;"55057";"55057";"56760";"56760";"01.09.2025";"НДС";"Ali Raif ILak San/Турция"
"109";"03004564009002002";;"Зефексал таб.180мг№20";"50";"23103247";"22";;;;;;"71775";"71775";"73995";"73995";"01.10.2025";"НДС";"Ali Raif ILak San/Турция"
"110";"03004175001013001";;"Кардива таб.12.5мг№28";"30";"23103236";"103";;;;;;"67294";"67294";"69375";"69375";"01.10.2025";"НДС";"Ali Raif ILak San/Турция"
"111";"03004175001013002";;"Кардива таб.25мг№28";"30";"23092632";"142";;;;;;"77947";"77947";"80358";"80358";"01.09.2025";"НДС";"Ali Raif ILak San/Турция"
"112";"03004175001013003";;"Кардива таб.6.25мг№28";"30";"24010244";"134";;;;;;"39604";"39604";"40829";"40829";"01.01.2026";"НДС";"Ali Raif ILak San/Турция"
"Allianz Biosciences Pvt Ltd";;;;;;;;;;;;;;;;;;
"113";"A18804";;"Максибаланс капс. 200мг №10";"120";"BAF23E01A";"10";;;;;;"38649";"38649";"39844";"39844";"01.06.2025";"БАД";"Allianz Biosciences Pvt Ltd/Индия"
"Amoun Pharmaceutical Co.";;;;;;;;;;;;;;;;;;
"114";"03004435001001001";;"Рибатран таб.№20";"40";"233913";"607";;;;;;"177680";"177680";"183175";"183175";"01.08.2026";"НДС";"Amoun Pharmaceutical Co./Египет"
"Ananta Medicare Limited";;;;;;;;;;;;;;;;;;
"115";"A34744";;"Анантавати кидс сироп 200мл№1";"48";"17023031";"1";;;;;;"74690";"74690";"77000";"77000";"01.02.2026";"БАД";"Ananta Medicare Limited/Индия"
"116";"A34762";;"Гамма Комбо сироп 100мл+раст.леденцы 2,5г Малина №18";"1";"16022101";"5";;;;;;"26355";"26355";"27170";"27170";"01.09.2025";"БАД";"Ananta Medicare Limited/Индия"
"117";"A32012";;"Нокамен таб. №60";"1";"14322081";"3";;;;;;"59242";"59242";"61074";"61074";"01.07.2025";"БАД";"Ananta Medicare Limited/Индия"
"Anestpharma";;;;;;;;;;;;;;;;;;
"118";"A56964";;"Зенирит нест 30мл №1";"1";"01";"130";;;;;;"119295";"119295";"122985";"122985";"01.05.2026";"БАД";"Anestpharma/Узбекистан"
"119";"A56417";;"Имудон Nest таб. №40";"1";"01";"96";;;;;;"59650";"59650";"61495";"61495";"01.06.2026";"БАД";"Anestpharma/Узбекистан"
"120";"02106999028018004";;"Магне В6 таб. Нест №50";"210";"01";"177";;;;;;"41826";"41826";"43120";"43120";"01.09.2025";"БАД";"Anestpharma/Узбекистан"
"ANGOR PFARM";;;;;;;;;;;;;;;;;;
"121";"A19771";;"Стоп-Гемморрой мазь 20г.№1 Леч.проктолог.+Геморроя";"40";"032024";"1";;;;;;"39052";"39052";"40260";"40260";"01.03.2026";"БАД";"ANGOR PFARM/Узбекистан"
"122";"A19772";;"Стоп-Грибок мазь 15г.№1 Леч.грибка";"40";"102023";"3";;;;;;"31050";"31050";"32010";"32010";"01.10.2025";"БАД";"ANGOR PFARM/Узбекистан"
